人物,位置,内容
俄吕司,5,“不回答么？既然如此…”
旁白,3,王抬起手来，一击冲拳――
旁白,3,到此为止了吗。
旁白,3,旅人如此想到。
旁白（骰子）,3,“许愿吧。”
旁白,3,时间好似停住，那硕大的铁拳就这样停滞在半空。
旁白（骰子）,3,“许愿吧。”
旅人,4,“什么……？”
旁白（骰子）,3,“许愿吧。”
旅人,4,“…………”
旁白（骰子）,3,“许愿吧。”
旅人,4,“………………”
旁白（骰子）,3,“许愿吧。”
旅人,4,“............好。让我眼前的这个男人，消失。”
旁白（骰子）,3,“投掷我。”
旁白,3,第一次，第二次，第三次，第四次，第五次，第六次――
俄吕司,5,“什么？”
旁白,3,俄吕司看着自己的身体。
旁白,3,疑惑。
旁白,3,胸口多出了一个大洞，里面的东西也理所应当地全部掉了出来。
俄吕司,5,“这样啊...哈哈…倒是与我蛮相符的死法……”
旁白,3,出人意料，王的脸上，是满足的表情。
俄吕司,5,“这样…就可以找去找你了吧，姐姐…”
旁白,3,抬头看着眼前完好如初的青年，俄吕司又露出一丝嗤笑。
俄吕司,5,“看来我们…是一样的呢……你没有名字吧…吠枭如何？如犬般疯狂，如枭般贪欲…哈哈……”
旁白,3,神在尽头，留下了一句话。
俄吕司,5,“仰望我的绝望吧。”
旁白,3,就这样，永远伫立在白色之中。
旅人,4,“我叫，‘吠枭’。”
旁白,3,吠枭像来到这里时一样，无声无息地离开了这里。
旁白,3,不知他的旅途，会到底何处呢。
旁白,3,只是，他应该永远也不会回家了吧。
旁白,3,而这获得了可能性的非冬国，又会迈向何处呢？
旁白,3,唯有用自己的双手，去杀死这命运――
END,,
